1,13085,United Kingdom
2,13078,United Kingdom
3,15362,United Kingdom
4,18102,United Kingdom
5,12682,France
6,18087,United Kingdom
7,13635,United Kingdom
8,14110,United Kingdom
9,12636,USA
10,17519,United Kingdom
11,13758,United Kingdom
12,12362,Belgium
13,15413,United Kingdom
14,16321,Australia
15,16167,United Kingdom
16,17865,United Kingdom
17,17592,United Kingdom
18,13767,United Kingdom
19,17238,United Kingdom
20,15712,United Kingdom
21,15311,United Kingdom
22,16329,United Kingdom
23,17700,United Kingdom
24,14911,EIRE
25,15998,United Kingdom
26,12931,United Kingdom
27,-1,United Kingdom
28,12533,Germany
29,17984,United Kingdom
30,14871,United Kingdom
31,13394,United Kingdom
32,16011,United Kingdom
33,16393,United Kingdom
34,14040,United Kingdom
35,12913,United Kingdom
36,15061,United Kingdom
37,14341,United Kingdom
38,17804,United Kingdom
39,14156,EIRE
40,13599,United Kingdom
41,17063,United Kingdom
42,15719,United Kingdom
43,12490,France
44,15793,United Kingdom
45,17056,United Kingdom
46,13526,United Kingdom
47,14654,United Kingdom
48,17998,United Kingdom
49,17742,United Kingdom
50,15326,United Kingdom
51,14478,United Kingdom
52,15967,United Kingdom
53,17611,United Kingdom
54,15051,United Kingdom
55,13097,United Kingdom
56,13590,United Kingdom
57,15984,United Kingdom
58,16887,United Kingdom
59,12921,United Kingdom
60,14543,United Kingdom
61,15945,United Kingdom
62,18037,United Kingdom
63,15662,United Kingdom
64,15380,United Kingdom
65,13110,United Kingdom
66,12836,United Kingdom
67,15005,United Kingdom
68,16620,United Kingdom
69,12758,Portugal
70,17961,United Kingdom
71,15601,United Kingdom
72,13585,United Kingdom
73,13442,United Kingdom
74,13381,United Kingdom
75,16763,United Kingdom
76,17243,United Kingdom
77,14865,United Kingdom
78,17345,United Kingdom
79,13819,United Kingdom
80,15808,United Kingdom
81,17191,United Kingdom
82,13748,United Kingdom
83,15265,United Kingdom
84,15750,United Kingdom
85,17428,United Kingdom
86,15485,United Kingdom
87,17246,United Kingdom
88,14061,United Kingdom
89,14108,United Kingdom
90,13648,United Kingdom
91,16563,United Kingdom
92,16701,United Kingdom
93,12842,United Kingdom
94,14302,United Kingdom
95,14135,United Kingdom
96,14831,United Kingdom
97,15602,United Kingdom
98,13777,United Kingdom
99,14000,United Kingdom
100,16823,United Kingdom
101,16163,United Kingdom
102,17193,United Kingdom
103,15759,United Kingdom
104,16131,United Kingdom
105,14560,United Kingdom
106,17087,United Kingdom
107,14894,United Kingdom
108,16202,United Kingdom
109,16700,United Kingdom
110,17511,United Kingdom
111,14299,United Kingdom
112,17949,United Kingdom
113,14799,United Kingdom
114,16550,United Kingdom
115,12980,United Kingdom
116,14425,United Kingdom
117,15353,United Kingdom
118,17818,United Kingdom
119,13654,United Kingdom
120,17189,United Kingdom
121,13269,United Kingdom
122,14653,United Kingdom
123,17019,United Kingdom
124,15542,United Kingdom
125,13564,United Kingdom
126,16467,United Kingdom
127,15833,United Kingdom
128,14527,United Kingdom
129,17476,United Kingdom
130,15287,United Kingdom
131,14440,United Kingdom
132,15680,United Kingdom
133,15581,United Kingdom
134,13740,United Kingdom
135,17768,United Kingdom
136,12948,United Kingdom
137,14667,United Kingdom
138,17377,United Kingdom
139,14467,United Kingdom
140,13457,United Kingdom
141,18108,United Kingdom
142,16210,United Kingdom
143,14669,United Kingdom
144,17909,United Kingdom
145,16086,United Kingdom
146,16711,United Kingdom
147,14739,United Kingdom
148,16233,United Kingdom
149,14204,United Kingdom
150,17606,United Kingdom
151,16797,United Kingdom
152,16126,United Kingdom
153,17867,United Kingdom
154,17412,United Kingdom
155,16525,United Kingdom
156,13623,United Kingdom
157,12435,Denmark
158,14549,United Kingdom
159,14106,United Kingdom
160,14980,United Kingdom
161,14396,United Kingdom
162,14122,United Kingdom
163,16987,United Kingdom
164,17809,United Kingdom
165,15917,United Kingdom
166,14987,United Kingdom
167,14080,United Kingdom
168,16200,United Kingdom
169,15794,United Kingdom
170,15523,United Kingdom
171,15615,United Kingdom
172,18001,United Kingdom
173,17841,United Kingdom
174,13089,United Kingdom
175,15989,United Kingdom
176,17660,United Kingdom
177,13313,United Kingdom
178,12437,France
179,14841,United Kingdom
180,14646,Netherlands
181,15482,United Kingdom
182,16156,United Kingdom
183,17716,United Kingdom
184,12779,Poland
185,13611,United Kingdom
186,15255,United Kingdom
187,14771,United Kingdom
188,14838,United Kingdom
189,13979,United Kingdom
190,13800,United Kingdom
191,14483,United Kingdom
192,14915,United Kingdom
193,13753,United Kingdom
194,16301,United Kingdom
195,13931,United Kingdom
196,17035,United Kingdom
197,15194,United Kingdom
198,14347,United Kingdom
199,12934,United Kingdom
200,15291,United Kingdom
201,17209,United Kingdom
202,15658,United Kingdom
203,17314,United Kingdom
204,17155,United Kingdom
205,15965,United Kingdom
206,17322,United Kingdom
207,16159,United Kingdom
208,14051,United Kingdom
209,13993,United Kingdom
210,17411,United Kingdom
211,15768,United Kingdom
212,12835,United Kingdom
213,15179,United Kingdom
214,17069,United Kingdom
215,16918,United Kingdom
216,15466,United Kingdom
217,14159,United Kingdom
218,17940,United Kingdom
219,17581,United Kingdom
220,16168,United Kingdom
221,14606,United Kingdom
222,17287,United Kingdom
223,17913,United Kingdom
224,13416,United Kingdom
225,16779,United Kingdom
226,13895,United Kingdom
227,14057,United Kingdom
228,17017,United Kingdom
229,13208,United Kingdom
230,17465,United Kingdom
231,13468,United Kingdom
232,13485,United Kingdom
233,17271,United Kingdom
234,16139,United Kingdom
235,15953,United Kingdom
236,15856,United Kingdom
237,14967,United Kingdom
238,16497,United Kingdom
239,17764,United Kingdom
240,14905,United Kingdom
241,18229,United Kingdom
242,17293,United Kingdom
243,17853,United Kingdom
244,15550,United Kingdom
245,13531,United Kingdom
246,13786,United Kingdom
247,14952,United Kingdom
248,14031,United Kingdom
249,12937,United Kingdom
250,16612,United Kingdom
251,12949,United Kingdom
252,14958,United Kingdom
253,17329,United Kingdom
254,16736,United Kingdom
255,13001,United Kingdom
256,14644,United Kingdom
257,14898,United Kingdom
258,14662,United Kingdom
259,17414,United Kingdom
260,14755,United Kingdom
261,17576,United Kingdom
262,13037,United Kingdom
263,14710,United Kingdom
264,18168,United Kingdom
265,17679,United Kingdom
266,17851,United Kingdom
267,14750,United Kingdom
268,16791,United Kingdom
269,16558,United Kingdom
270,15884,United Kingdom
271,17343,United Kingdom
272,17372,United Kingdom
273,16003,United Kingdom
274,17432,United Kingdom
275,14713,United Kingdom
276,16722,United Kingdom
277,12577,France
278,12872,United Kingdom
279,15755,United Kingdom
280,14258,United Kingdom
