1,489434,2009-12-01 07:45:00,1
2,489435,2009-12-01 07:46:00,1
3,489436,2009-12-01 09:06:00,2
4,489437,2009-12-01 09:08:00,3
5,489438,2009-12-01 09:24:00,4
6,489439,2009-12-01 09:28:00,5
7,489440,2009-12-01 09:43:00,6
8,489441,2009-12-01 09:44:00,6
9,489442,2009-12-01 09:46:00,7
10,489443,2009-12-01 09:50:00,8
11,489444,2009-12-01 09:55:00,9
12,489445,2009-12-01 09:57:00,10
13,489446,2009-12-01 10:06:00,11
14,489447,2009-12-01 10:10:00,12
15,489448,2009-12-01 10:18:00,13
16,489450,2009-12-01 10:36:00,14
17,489460,2009-12-01 10:46:00,15
18,489461,2009-12-01 10:49:00,16
19,489462,2009-12-01 10:49:00,17
20,489465,2009-12-01 10:52:00,18
21,489488,2009-12-01 10:59:00,19
22,489505,2009-12-01 11:17:00,20
23,489514,2009-12-01 11:21:00,21
24,489517,2009-12-01 11:34:00,22
25,489519,2009-12-01 11:37:00,23
26,489520,2009-12-01 11:41:00,24
27,489522,2009-12-01 11:45:00,25
28,489523,2009-12-01 11:46:00,26
29,489525,2009-12-01 11:49:00,27
30,489526,2009-12-01 11:50:00,29
31,489529,2009-12-01 11:51:00,30
32,489531,2009-12-01 11:57:00,31
33,489532,2009-12-01 11:58:00,32
34,489533,2009-12-01 12:02:00,33
35,489536,2009-12-01 12:13:00,34
36,489537,2009-12-01 12:14:00,35
37,489540,2009-12-01 12:18:00,36
38,489539,2009-12-01 12:18:00,37
39,489542,2009-12-01 12:19:00,37
40,489544,2009-12-01 12:20:00,38
41,489545,2009-12-01 12:22:00,39
42,489546,2009-12-01 12:30:00,40
43,489547,2009-12-01 12:30:00,41
44,489548,2009-12-01 12:32:00,42
45,489550,2009-12-01 12:33:00,40
46,489552,2009-12-01 12:36:00,97
47,489556,2009-12-01 12:47:00,98
48,489557,2009-12-01 12:52:00,99
49,489558,2009-12-01 12:54:00,100
50,489559,2009-12-01 12:55:00,101
51,489560,2009-12-01 12:56:00,102
52,489561,2009-12-01 12:57:00,103
53,489562,2009-12-01 13:07:00,104
54,489564,2009-12-01 13:13:00,102
55,489566,2009-12-01 13:16:00,105
56,489567,2009-12-01 13:19:00,106
57,489569,2009-12-01 13:20:00,107
58,489571,2009-12-01 13:29:00,108
59,489572,2009-12-01 13:29:00,109
60,489573,2009-12-01 13:29:00,110
61,489574,2009-12-01 13:31:00,111
62,489575,2009-12-01 13:37:00,112
63,489576,2009-12-01 13:38:00,113
64,489579,2009-12-01 13:41:00,114
65,489580,2009-12-01 13:43:00,115
66,489582,2009-12-01 13:47:00,116
67,489581,2009-12-01 13:47:00,117
68,489584,2009-12-01 13:48:00,118
69,489585,2009-12-01 13:49:00,119
70,489586,2009-12-01 13:50:00,120
71,489590,2009-12-01 14:14:00,121
72,489593,2009-12-01 14:19:00,122
73,489594,2009-12-01 14:19:00,123
74,489596,2009-12-01 14:27:00,124
75,489597,2009-12-01 14:28:00,125
76,489598,2009-12-01 14:35:00,627
77,489599,2009-12-01 14:40:00,628
78,489600,2009-12-01 14:43:00,629
79,489601,2009-12-01 14:44:00,660
80,489602,2009-12-01 14:45:00,686
81,489603,2009-12-01 14:46:00,719
82,489604,2009-12-01 14:47:00,740
83,489606,2009-12-01 14:48:00,765
84,489608,2009-12-01 14:49:00,766
85,489607,2009-12-01 14:49:00,767
86,489609,2009-12-01 14:50:00,806
87,489611,2009-12-01 14:53:00,843
88,489612,2009-12-01 14:55:00,844
89,489613,2009-12-01 14:56:00,885
90,489615,2009-12-01 14:56:00,886
91,489614,2009-12-01 14:56:00,894
92,489616,2009-12-01 14:58:00,934
93,489617,2009-12-01 14:59:00,957
94,489618,2009-12-01 14:59:00,958
95,489619,2009-12-01 15:02:00,959
96,489634,2009-12-01 15:19:00,964
97,489635,2009-12-01 15:26:00,965
98,489637,2009-12-01 15:36:00,966
99,489638,2009-12-01 15:42:00,967
100,489639,2009-12-01 16:05:00,968
101,489640,2009-12-01 16:17:00,969
102,489641,2009-12-01 16:18:00,970
103,489642,2009-12-01 16:19:00,971
104,489644,2009-12-01 16:30:00,974
105,489645,2009-12-01 16:34:00,975
106,489650,2009-12-01 16:44:00,976
107,489653,2009-12-01 17:08:00,977
108,489652,2009-12-01 17:08:00,990
109,489654,2009-12-01 17:19:00,991
110,489656,2009-12-01 17:28:00,992
111,489657,2009-12-01 17:28:00,992
112,489658,2009-12-01 17:31:00,993
113,489661,2009-12-01 17:45:00,994
114,489662,2009-12-01 17:50:00,993
115,489664,2009-12-01 18:03:00,995
116,489665,2009-12-01 18:07:00,996
117,489666,2009-12-01 18:13:00,997
118,489667,2009-12-01 18:35:00,998
119,489668,2009-12-01 19:19:00,999
120,489669,2009-12-02 08:15:00,1000
121,489670,2009-12-02 08:16:00,1001
122,489671,2009-12-02 08:58:00,1002
123,489672,2009-12-02 09:21:00,1003
124,489673,2009-12-02 09:23:00,1003
125,489674,2009-12-02 09:35:00,1004
126,489675,2009-12-02 09:47:00,1005
127,489676,2009-12-02 09:49:00,1005
128,489677,2009-12-02 09:50:00,1006
129,489678,2009-12-02 09:57:00,1007
130,489679,2009-12-02 10:00:00,1008
131,489681,2009-12-02 10:02:00,104
132,489680,2009-12-02 10:02:00,1009
133,489682,2009-12-02 10:08:00,1010
134,489683,2009-12-02 10:09:00,1011
135,489684,2009-12-02 10:15:00,1012
136,489687,2009-12-02 10:41:00,1013
137,489688,2009-12-02 10:42:00,1014
138,489695,2009-12-02 10:48:00,1015
139,489699,2009-12-02 10:51:00,1016
140,489705,2009-12-02 10:52:00,1016
141,489702,2009-12-02 10:52:00,1017
142,489723,2009-12-02 10:58:00,1018
143,489726,2009-12-02 11:07:00,1019
144,489725,2009-12-02 11:07:00,1019
145,489727,2009-12-02 11:09:00,1019
146,489728,2009-12-02 11:18:00,1020
147,489733,2009-12-02 11:20:00,21
148,489743,2009-12-02 11:24:00,1021
149,489748,2009-12-02 11:26:00,1022
150,489764,2009-12-02 11:31:00,1023
151,489765,2009-12-02 11:33:00,1024
152,489766,2009-12-02 11:34:00,1025
153,489780,2009-12-02 11:43:00,1026
154,489782,2009-12-02 11:45:00,1027
155,489783,2009-12-02 11:47:00,1028
156,489784,2009-12-02 11:48:00,1028
157,489785,2009-12-02 11:51:00,1029
158,489786,2009-12-02 11:52:00,1030
159,489787,2009-12-02 11:53:00,1031
160,489788,2009-12-02 11:55:00,1032
161,489790,2009-12-02 11:59:00,1033
162,489789,2009-12-02 11:59:00,1034
